default_payment_next_month,limit_bal,age,limit_used_sep,score_3mo,score_6mo,bill_amt_sep,bill_amt_aug,bill_amt_jul,bill_amt_jun,bill_amt_may,bill_amt_apr,pay_amt_sep,pay_amt_aug,pay_amt_jul,pay_amt_jun,pay_amt_may,pay_amt_apr,id,sex,education,marital_status,pay_sep,pay_aug,pay_jul,pay_jun,pay_may,pay_apr,pay_mode3,pay_mode3_cat,pay_sep_cat,pay_aug_cat,pay_jul_cat,pay_jun_cat,pay_may_cat,pay_apr_cat,age_cat
1,20000,24,0.19565,1,1,3913,3102,689,0,0,0,0,689,0,0,0,0,1,2,2,1,2,2,-1,-1,-2,-2,2,1,1,1,-1,-1,-1,-1,20-29
1,120000,26,0.02235,0,0,2682,1725,2682,3272,3455,3261,0,1000,1000,1000,0,2000,2,2,2,2,-1,2,0,0,0,2,-1,-1,-1,1,0,0,0,1,20-29
0,90000,34,0.32487777777777777,0,0,29239,14027,13559,14331,14948,15549,1518,1500,1000,1000,1000,5000,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,50000,37,0.9398,0,0,46990,48233,49291,28314,28959,29547,2000,2019,1200,1100,1069,1000,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,50000,57,0.17234000000000002,-1,-1,8617,5670,35835,20940,19146,19131,2000,36681,10000,9000,689,679,5,1,2,1,-1,0,-1,0,0,0,-1,-1,-1,0,-1,0,0,0,50-59
0,50000,37,1.288,0,0,64400,57069,57608,19394,19619,20024,2500,1815,657,1000,1000,800,6,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-39
0,100000,23,0.11875999999999999,0,0,11876,380,601,221,-159,567,380,601,0,581,1687,1542,8,2,2,2,0,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,-1,20-29
0,140000,28,0.08060714285714286,0,0,11285,14096,12108,12211,11793,3719,3329,0,432,1000,1000,1000,9,2,3,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,20-29
0,20000,35,0.0,-2,-2,0,0,0,0,13007,13912,0,0,0,13007,1122,0,10,1,3,2,-2,-2,-2,-2,-1,-1,-2,-1,-1,-1,-1,-1,-1,-1,30-39
0,200000,34,0.055365,0,0,11073,9787,5535,2513,1828,3731,2306,12,50,300,3738,66,11,2,3,2,0,0,2,0,0,-1,0,0,0,0,1,0,0,-1,30-39
0,260000,51,0.04715769230769231,-1,-1,12261,21670,9966,8517,22287,13668,21818,9966,8583,22301,0,3640,12,2,1,2,-1,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,-1,1,50-59
1,70000,30,0.9400285714285714,2,1,65802,67369,65701,66782,36137,36894,3200,0,3000,3000,1500,0,14,1,2,2,1,2,2,0,0,2,2,1,1,1,1,0,0,1,30-39
